Index,Author,Compound,Tech,RL_inf,Influent,RL_eff,Effluent,Type,,,,,,,,
7,Oliveira,Naproxen,UV,,18390,,450,Anti-inflammatory,,,,,,,,
8,Rodriguez-Mozaz,Bezafibrate,UV,78,997,8.2,24.5,Lipid Regulator,,,,,,,,
38,Knopp,Iomeprol,"GAC, ae",25,16200,25,400,Iodinated contrast medium,,,,,,,,
8,Rodriguez-Mozaz,Propranolol,RO,3.9,83,0.4,2.05,Beta-Blocker,,,,,,,,
22,Li,Sulfamethoxazole,Ozone,0.15,496,0.15,12.3,Antibiotic,,,,,,,,
38,Knopp,Carboxy-Acyclovir,Ozone,25,1000,25,25,Drug Metabolite,,,,,,,,
8,Rodriguez-Mozaz,Famotidine,RO,12.6,24,0.6,0.6,Antihistamine,,,,,,,,
39,Estrada-Arriaga,Benzoylecgonine,UV - ClO2,0.66,55.7,0.66,1.4,Drug Metabolite,,,,,,,,
39,Estrada-Arriaga,Cotinine,UV - ClO2,1.94,164,1.94,4.16,Opioid,,,,,,,,
3,Sim,Ibuprofen,Biological Filtration System,28,1100,28,28,Anti-inflammatory,,,,,,,,
30,Hijosa-Valsero,Carboxy-ibuprofen,Constructed Wetland,,7840,,200,Drug Metabolite,,,,,,,,
22,Li,Fleroxacin,Ozone,0.15,147,0.15,3.75,Quinolone,,,,,,,,
40,Mamo,o-Desmethylvenlafaxine,NF,,4196.5,,107.2,Antidepressant,,,,,,,,
24,Li,Trimethoprim,"Aerated Lanoons (2), Sand Tank",4.8,1170,2.4,30,Antibiotic,,,,,,,,
39,Estrada-Arriaga,Progesterone,UV,2.07,80.2,2.07,2.07,Hormone,,,,,,,,
15,Zorita,4-IBAP,Sand Filter,14,540,14,14,Drug Metabolite,,,,,,,,
22,Li,Ofloxacin,Ozone,0.2,2794,0.2,72.6,Antibiotic,,,,,,,,
2,Margot,N-acetyl-4-aminoantipyrine,"Ozone, Sand Filter",20,920,20,24,Drug Metabolite,,,,,,,,
39,Estrada-Arriaga,Estrone,UV,1.06,39.9,1.06,1.06,Hormone,,,,,,,,
39,Estrada-Arriaga,Cotinine,UV,1.94,1580,1.94,42.1,Opioid,,,,,,,,
3,Sim,Naproxen,SF,12,524,12,14,Anti-inflammatory,,,,,,,,
9,Sahar,Erythromycin,RO,25,934,25,25,Antibiotic,,,,,,,,
9,Sahar,Erythromycin,RO,25,934,25,25,Antibiotic,,,,,,,,
3,Sim,Ketoprofen,Biological Filtration System,6,224,6,6,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Ofloxacin,ClO2,2.9,107,2.9,2.9,Antibiotic,,,,,,,,
1,Kim,Enalapril,Membrane Bioreactor,1.2,28,0.3,0.76,Antihypertensive,,,,,,,,
12,Perez,Gemfibrozil,Reverse Osmosis,,1271,,34.826,Lipid Regulator,,,,,,,,
16,Ávila,Ibuprofen,Constructed Wetland,,18660,,520,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Benzoylecgonine,UV - ClO2,0.66,125,0.66,3.49,Drug Metabolite,,,,,,,,
38,Knopp,1H-benzotriazole,Ozone,25,25000,25,700,Corrosion Inhibitor,,,,,,,,
39,Estrada-Arriaga,"1,7-Dimethylxanthine",UV,116,24000,116,673,Stimulant,,,,,,,,
39,Estrada-Arriaga,Testosterone,UV,2.49,88.5,2.49,2.49,Hormone,,,,,,,,
39,Estrada-Arriaga,Theophylline,UV,93,20100,93,571,Bronchodilator,,,,,,,,
5,Li,Ampicillin,Chlorine,,383,,10.9,Antibiotic,,,,,,,,
3,Sim,Ibuprofen,Chlorine,28,982,28,28,Anti-inflammatory,,,,,,,,
21,Le-Minh,Oestrone (E1),MBR,,350,,10,Hormone,,,,,,,,
39,Estrada-Arriaga,17β-estradiol,UV,0.9,31.5,0.9,0.9,Hormone,,,,,,,,
2,Margot,Carbamazepine,"Ozone, Sand Filter",0.1,482,0.1,13.83,Anticonvulsant,,,,,,,,
3,Sim,Acetylsalicylic Acid,SF/AC,3,2670,3,78,Anti-inflammatory,,,,,,,,
2,Margot,Methylbenzotriazole,"Powdered Activated Carbon, Ultrafiltration",48.5,5720,48.5,168.04,Drug Metabolite,,,,,,,,
1,Kim,Triclosan,Membrane Bioreactor,60,2230,240,65.7,Antifungal,,,,,,,,
39,Estrada-Arriaga,Triclosan,UV,16,543,16,16,Antifungal,,,,,,,,
39,Estrada-Arriaga,Ibuprofen,UV,29,975,29,29,Anti-inflammatory,,,,,,,,
1,Kim,Triclosan,Membrane Bioreactor,60,2370,240,70.9,Antifungal,,,,,,,,
37,Matamoros,Caffeine,Constructed Wetland,,31900,,957,Stimulant,,,,,,,,
39,Estrada-Arriaga,Triclosan,UV - ClO2,16,531,16,16,Antifungal,,,,,,,,
7,Oliveira,Metformin,UV,,211250,,6380,Antidiabetic,,,,,,,,
39,Estrada-Arriaga,Estrone,UV - ClO2,1.06,35,1.06,1.06,Hormone,,,,,,,,
39,Estrada-Arriaga,Cocaine,UV - ClO2,0.29,9.54,0.29,0.29,Opioid,,,,,,,,
39,Estrada-Arriaga,Benzoylecgonine,ClO2,0.66,125,0.66,3.82,Drug Metabolite,,,,,,,,
21,Le-Minh,Oestrone (E1),MBR,,324,,10,Hormone,,,,,,,,
39,Estrada-Arriaga,Cimetidine,UV,1.18,87.6,1.18,2.71,Antihistamine,,,,,,,,
18,Rosal,Paraxanthine,Ozone,55,26722,55,836,Stimulant,,,,,,,,
39,Estrada-Arriaga,Testosterone,ClO2,2.49,79.3,2.49,2.49,Hormone,,,,,,,,
39,Estrada-Arriaga,Ibuprofen,UV,29,1800,29,56.6,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,2-Hydroxy-ibuprofen,ClO2,171,5410,171,171,Drug Metabolite,,,,,,,,
2,Margot,Norfloxacin,"Powdered Activated Carbon, Ultrafiltration",1.9,334,1.9,10.62,Antibiotic,,,,,,,,
39,Estrada-Arriaga,Metformin,UV,11.2,94600,11.2,3010,Antidiabetic,,,,,,,,
41,Yang,Triclosan,MF,100,470,20,15,Antifungal,,,,,,,,
23,Hijosa-Valsero,Salicylic Acid,Constructed Wetland,,41000,,1320,Topical Anti-inflammatory,,,,,,,,
38,Knopp,Iopromide,Biofilter,25,9200,25,300,Iodinated contrast medium,,,,,,,,
38,Knopp,Iopromide,"Biofilter, ae",25,9200,25,300,Iodinated contrast medium,,,,,,,,
3,Sim,Ibuprofen,UV,28,852,28,28,Anti-inflammatory,,,,,,,,
25,Carmona,Methylparaben,"Filtration, UV",4,334,1,11,Antifungal,,,,,,,,
25,Carmona,Butylparaben,"Filtration, UV",1,15,0.5,0.5,Preservative,,,,,,,,
8,Rodriguez-Mozaz,Ofloxacin,UV,17.2,377.5,4.6,13,Antibiotic,,,,,,,,
8,Rodriguez-Mozaz,Propyphenazone,RO,4.3,10,0.2,0.35,Analgesic,,,,,,,,
2,Margot,Sulfamethoxazole,"Ozone, Sand Filter",0.2,340,0.2,11.97,Antibiotic,,,,,,,,
39,Estrada-Arriaga,Ciprofloxacin,ClO2,13.2,373,13.2,13.2,Antibiotic,,,,,,,,
9,Sahar,Clarythromycin,UF,25,1986,25,72.2,Antibiotic,,,,,,,,
30,Hijosa-Valsero,Caffeine,Constructed Wetland,,19200,,700,Stimulant,,,,,,,,
8,Rodriguez-Mozaz,Mefenamic Acid,RO,0.6,15,0.3,0.55,Anti-inflammatory,,,,,,,,
16,Ávila,Tonalide,Constructed Wetland,,540,,20,Musk,,,,,,,,
39,Estrada-Arriaga,2-Hydroxy-ibuprofen,UV,171,4580,171,171,Drug Metabolite,,,,,,,,
11,Dolar,Hydrocodone,RO,1.73,46,1.73,1.73,Opioid Analgesic,,,,,,,,
39,Estrada-Arriaga,Sulfamethoxazole,UV - ClO2,0.47,279,0.47,10.5,Antibiotic,,,,,,,,
7,Oliveira,Pseudoephedrine,UV,,3450,,130,Decongestant,,,,,,,,
11,Dolar,Carbamazepine,RO,3.13,83,3.13,3.13,Anticonvulsant,,,,,,,,
27,Bertanza,4-nonylphenol monoethylxylate,UF/MBR,,7890,,300,Hormone,,,,,,,,
2,Margot,Gemfibrozil,"Ozone, Sand Filter",2.9,411,2.9,15.9,Lipid Regulator,,,,,,,,
1,Kim,Gemfibrozil,Membrane Bioreactor,6,42,1.5,1.64,Lipid Regulator,,,,,,,,
8,Rodriguez-Mozaz,Bezafibrate,MF,78,997,8.2,39,Lipid Regulator,,,,,,,,
2,Margot,Ibuprofen,"Powdered Activated Carbon, Ultrafiltration",13.4,4101,13.4,161.84,Anti-inflammatory,,,,,,,,
2,Margot,"N,N-didesvenlafaxine","Ozone, Sand Filter",10,250,10,9.9,Drug Metabolite,,,,,,,,
21,Le-Minh,Oestrone (E1),MBR,,251,,10,Hormone,,,,,,,,
29,Wang,Caffeine,UV,0.9,11400,0.3,454.46,Stimulant,,,,,,,,
2,Margot,Simvastatin,"Ozone, Sand Filter",29.7,736,29.7,29.4,Lipid Regulator,,,,,,,,
1,Kim,Gemfibrozil,Membrane Bioreactor,6,44.1,1.5,1.77,Lipid Regulator,,,,,,,,
39,Estrada-Arriaga,Androstenedione,UV,2.16,238,2.16,9.56,Steroid Hormone,,,,,,,,
2,Margot,Trimethoprim,"Powdered Activated Carbon, Ultrafiltration",0.2,235,0.2,9.48,Antibiotic,,,,,,,,
39,Estrada-Arriaga,"1,7-Dimethylxanthine",UV - ClO2,116,2870,116,116,Stimulant,,,,,,,,
39,Estrada-Arriaga,Diphenhydramine,ClO2,1.16,28.2,1.16,1.16,Antihistamine,,,,,,,,
39,Estrada-Arriaga,Triclosan,ClO2,16,383,16,16,Antifungal,,,,,,,,
11,Dolar,Codeine,RO,6.35,152,6.35,6.35,Opioid,,,,,,,,
21,Le-Minh,Estriol,MBR,,359,,15,Hormone,,,,,,,,
39,Estrada-Arriaga,Triclocarban,UV,4.8,277,4.8,11.6,Antibacterial,,,,,,,,
39,Estrada-Arriaga,Erythromycin-H2O,UV - ClO2,4.44,200,4.44,8.38,Drug metabolite,,,,,,,,
2,Margot,17β-Estradiol,"Ozone, Sand Filter",0.5,12,0.5,0.507,Hormone,,,,,,,,
2,Margot,17β-Estradiol,"Powdered Activated Carbon, Ultrafiltration",0.5,12,0.5,0.507,Hormone,,,,,,,,
8,Rodriguez-Mozaz,Ofloxacin,MF,17.2,377.5,4.6,16,Antibiotic,,,,,,,,
2,Margot,Estrone,"Powdered Activated Carbon, Ultrafiltration",15.6,134,15.6,5.68,Hormone,,,,,,,,
2,Margot,Losartan,"Powdered Activated Carbon, Ultrafiltration",20,2405,20,102,Antihypertensive,,,,,,,,
25,Carmona,Naproxen,"Filtration, UV",8,2399,2,102,Anti-inflammatory,,,,,,,,
4,Urtiaga,Ofloxacin,Reverse Osmosis,,94,,4,Antibiotic,,,,,,,,
30,Hijosa-Valsero,Caffeine,Constructed Wetland,,19200,,820,Stimulant,,,,,,,,
6,Behera,Naproxen,UV,4.708,2584,4.708,111,Anti-inflammatory,,,,,,,,
2,Margot,Mefenamic Acid,"Powdered Activated Carbon, Ultrafiltration",2.6,946,2.6,40.67,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Testosterone,UV,2.49,57.9,2.49,2.49,Hormone,,,,,,,,
2,Margot,Clarithromycin,"Ozone, Sand Filter",0.4,709,0.4,30.8,Antibiotic,,,,,,,,
38,Knopp,Iopromide,Ozone,25,9200,25,400,Iodinated contrast medium,,,,,,,,
39,Estrada-Arriaga,Progesterone,ClO2,2.07,47.4,2.07,2.07,Hormone,,,,,,,,
13,Kosma,Paracetamol,"Anarobic/Anoxic tanks, Sand filter, Chlorine",35,20600,35,900,Analgesic,,,,,,,,
2,Margot,"N,N-sulfamethoxazole","Ozone, Sand Filter",20,570,20,25,Drug Metabolite,,,,,,,,
2,Margot,Norfloxacin,"Ozone, Sand Filter",1.9,334,1.9,14.75,Antibiotic,,,,,,,,
39,Estrada-Arriaga,17β-estradiol,UV,0.9,20,0.9,0.9,Hormone,,,,,,,,
39,Estrada-Arriaga,Enalapril,UV - ClO2,0.99,22,0.99,0.99,Antihypertensive,,,,,,,,
23,Hijosa-Valsero,Methyl dihydrojasmonate,Constructed Wetland,,6570,,300,Fragrance,,,,,,,,
3,Sim,Ibuprofen,Chlorine,28,612,28,28,Anti-inflammatory,,,,,,,,
23,Hijosa-Valsero,Caffeine,Constructed Wetland,,6250,,290,Stimulant,,,,,,,,
23,Hijosa-Valsero,Caffeine,Constructed Wetland,,6250,,290,Stimulant,,,,,,,,
39,Estrada-Arriaga,Progesterone,UV,2.07,44.6,2.07,2.07,Hormone,,,,,,,,
2,Margot,Oxybenzone,"Ozone, Sand Filter",20,425,20,19.8,UV filter/sunscreen,,,,,,,,
2,Margot,Simvastatin,"Powdered Activated Carbon, Ultrafiltration",29.7,736,29.7,34.3,Lipid Regulator,,,,,,,,
24,Li,Triclosan,"Aerated Lanoons (2), Sand Tank",40,4650,1.6,218,Antifungal,,,,,,,,
8,Rodriguez-Mozaz,Terbutylazine,UV,19.4,213,7.8,10,Herbicide,,,,,,,,
22,Li,Sarafloxacin,Ozone,0.1,9.37,0.1,0.44,Antibiotic,,,,,,,,
39,Estrada-Arriaga,Androstenedione,UV,2.16,390,2.16,18.6,Steroid Hormone,,,,,,,,
9,Sahar,Clarythromycin,MBR,25,1986,25,95.7,Antibiotic,,,,,,,,
8,Rodriguez-Mozaz,Simazine,RO,61.9,61.9,1.8,3,Herbicide,,,,,,,,
2,Margot,Clarithromycin,"Powdered Activated Carbon, Ultrafiltration",0.4,709,0.4,35.2,Antibiotic,,,,,,,,
30,Hijosa-Valsero,Salicylic acid ,Constructed Wetland,,15900,,790,Topical Anti-inflammatory,,,,,,,,
37,Matamoros,Hydrocinnamic acid,Constructed Wetland,,21100,,1055,Food/Cosmetics,,,,,,,,
37,Matamoros,Salicylic acid,Constructed Wetland,,16300,,815,Topical Anti-inflammatory,,,,,,,,
38,Knopp,Iopamidol,Ozone,25,500,25,25,Iodinated contrast medium,,,,,,,,
39,Estrada-Arriaga,Benzoylecgonine,UV,0.66,653,0.66,32.7,Drug Metabolite,,,,,,,,
18,Rosal,Ibuprofen,Ozone,4,2687,4,135,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Albuterol,ClO2,0.59,11.5,0.59,0.59,Bronchodilator,,,,,,,,
18,Rosal,Caffeine,Ozone,15,22849,15,1176,Stimulant,,,,,,,,
8,Rodriguez-Mozaz,Terbutylazine,MF,19.4,213,7.8,11,Herbicide,,,,,,,,
22,Li,Lomefloxacin,Ozone,0.1,63.7,0.1,3.3,Antibiotic,,,,,,,,
8,Rodriguez-Mozaz,Diuron,RO,202.5,202.5,7.2,10.5,Herbicide,,,,,,,,
30,Hijosa-Valsero,Salicylic acid ,Constructed Wetland,,15900,,830,Topical Anti-inflammatory,,,,,,,,
7,Oliveira,Cotinine,UV,,1520,,80,Opioid,,,,,,,,
2,Margot,Estrone,"Ozone, Sand Filter",15.6,134,15.6,7.1,Hormone,,,,,,,,
11,Dolar,Sotalol,RO,6.26,118,6.26,6.26,Beta-Blocker,,,,,,,,
2,Margot,Ofloxacin,"Ozone, Sand Filter",0.4,234,0.4,12.6,Antibiotic,,,,,,,,
23,Hijosa-Valsero,Caffeine,Constructed Wetland,,44630,,2430,Stimulant,,,,,,,,
13,Kosma,Triclosan,"Anarobic/Anoxic tanks, Sand filter, Chlorine",43.6,800,43.6,43.6,Antifungal,,,,,,,,
2,Margot,Naproxen,"Ozone, Sand Filter",9.4,697,9.4,38,Anti-inflammatory,,,,,,,,
21,Le-Minh,Trimethoprim,MBR,,858,,47,Antibiotic,,,,,,,,
39,Estrada-Arriaga,"1,7-Dimethylxanthine",UV,116,14200,116,787,Stimulant,,,,,,,,
4,Urtiaga,Gemfibrozil,Ultrafiltration,,18504,,1035,Lipid Regulator,,,,,,,,
1,Kim,Diphenhydramine,Membrane Bioreactor,,2240,,127,Antihistamine,,,,,,,,
39,Estrada-Arriaga,Ofloxacin,UV - ClO2,2.9,51,2.9,2.9,Antibiotic,,,,,,,,
23,Hijosa-Valsero,Salicylic Acid,Constructed Wetland,,25740,,1470,Topical Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,2-Hydroxy-ibuprofen,UV,171,3010,171,174,Drug Metabolite,,,,,,,,
28,Chiu,Triclosan,UV,1,1400,1,81,Antifungal,,,,,,,,
22,Li,Josamycin,Ozone,0.05,0.86,0.05,0.05,Antibiotic,,,,,,,,
2,Margot,Metoprolol,"Powdered Activated Carbon, Ultrafiltration",4.4,561,4.4,32.65,Beta-Blocker,,,,,,,,
1,Kim,Methylprednisolone,Membrane Bioreactor,16,81,4,4.73,Steroid,,,,,,,,
15,Zorita,Naproxen,Sand Filter,2,4900,2,290,Anti-inflammatory,,,,,,,,
6,Behera,Ketoprofen,UV,1.649,202,1.649,12,Anti-inflammatory,,,,,,,,
2,Margot,Diclofenac,"Ozone, Sand Filter",1.2,1197,1.2,71.22,Anti-inflammatory,,,,,,,,
30,Hijosa-Valsero,Salicylic acid ,Constructed Wetland,,15900,,950,Topical Anti-inflammatory,,,,,,,,
30,Hijosa-Valsero,Caffeine,Constructed Wetland,,19200,,1150,Stimulant,,,,,,,,
19,Stamatis,Triadimefon,Sand Filter/Chlorine,16,24.24,10,1.46,Fungicide,,,,,,,,
3,Sim,Naproxen,SF,12,827,12,50,Anti-inflammatory,,,,,,,,
1,Kim,Triclocarban,Membrane Bioreactor,3,72.6,12,4.42,Antibacterial,,,,,,,,
2,Margot,Ofloxacin,"Powdered Activated Carbon, Ultrafiltration",0.4,234,0.4,14.28,Antibiotic,,,,,,,,
1,Kim,Tetracycline,Membrane Bioreactor,6,116,24,7.09,Antibiotic,,,,,,,,
13,Kosma,Salicylic acid,"Anarobic/Anoxic tanks, Sand filter, Chlorine",184.1,86800,184.1,5400,Topical Anti-inflammatory,,,,,,,,
2,Margot,Benzothiazole,"Powdered Activated Carbon, Ultrafiltration",400,6500,400,406,Industrial additive,,,,,,,,
38,Knopp,Erythromycin,Biofilter,25,400,25,25,Antibiotic,,,,,,,,
38,Knopp,Erythromycin,"Biofilter, ae",25,400,25,25,Antibiotic,,,,,,,,
38,Knopp,Erythromycin,GAC,25,400,25,25,Antibiotic,,,,,,,,
38,Knopp,Erythromycin,"GAC, ae",25,400,25,25,Antibiotic,,,,,,,,
11,Dolar,Salbutamol,RO,1.79,28,1.79,1.79,Bronchodilator,,,,,,,,
2,Margot,Atenolol,"Powdered Activated Carbon, Ultrafiltration",1.2,1274,1.2,81.84,Beta-Blocker,,,,,,,,
1,Kim,Diphenhydramine,Membrane Bioreactor,,2380,,154,Antihistamine,,,,,,,,
1,Kim,Furosemide,Membrane Bioreactor,160,673,40,43.8,Diuretic,,,,,,,,
23,Hijosa-Valsero,Salicylic Acid,Constructed Wetland,,41000,,2680,Topical Anti-inflammatory,,,,,,,,
23,Hijosa-Valsero,Salicylic Acid,Constructed Wetland,,41000,,2680,Topical Anti-inflammatory,,,,,,,,
1,Kim,Tetracycline,Membrane Bioreactor,6,107,24,7.09,Antibiotic,,,,,,,,
22,Li,Erythromycin,Ozone,0.15,221,0.15,14.7,Antibiotic,,,,,,,,
28,Chiu,Estradiol,UV,,30,,2,Hormone,,,,,,,,
11,Dolar,Sulfamethoxazole,RO,6.83,102,6.83,6.83,Antibiotic,,,,,,,,
1,Kim,Furosemide,Membrane Bioreactor,160,698,40,47.3,Diuretic,,,,,,,,
39,Estrada-Arriaga,Ranitidine,UV,0.3,2720,0.3,187,Antihistamine,,,,,,,,
28,Chiu,TBBA,UV,0.5,640,0.5,44,Flame Retardant,,,,,,,,
2,Margot,Bisphenol A,"Powdered Activated Carbon, Ultrafiltration",48.9,834,48.9,57.46,Plastic Component,,,,,,,,
21,Le-Minh,N4-Acetyl Sulfamethazine,MBR,,390,,27,Drug Metabolite,,,,,,,,
3,Sim,Naproxen,UV,12,823,12,57,Anti-inflammatory,,,,,,,,
7,Oliveira,Norbuprenorphine,UV,,430,,30,Drug Metabolite,,,,,,,,
11,Dolar,Hydrocodone,MBR,1.73,46,1.73,3.22,Opioid Analgesic,,,,,,,,
39,Estrada-Arriaga,Theophylline,UV,93,8070,93,565,Bronchodilator,,,,,,,,
2,Margot,"N,N-sulfamethoxazole","Powdered Activated Carbon, Ultrafiltration",20,570,20,40,Drug Metabolite,,,,,,,,
1,Kim,Tetracycline,Membrane Bioreactor,6,93.6,24,6.57,Antibiotic,,,,,,,,
2,Margot,Morphine,"Ozone, Sand Filter",20,270,20,19,Anti-inflammatory,,,,,,,,
2,Margot,Morphine,"Powdered Activated Carbon, Ultrafiltration",20,270,20,19,Anti-inflammatory,,,,,,,,
2,Margot,Oxybenzone,"Powdered Activated Carbon, Ultrafiltration",20,425,20,30,UV filter/sunscreen,,,,,,,,
11,Dolar,Clopidogrel,RO,8.76,124,8.76,8.76,Blood thinner,,,,,,,,
5,Li,Sulfadiazine,Chlorine,,28.2,,2,Antibiotic,,,,,,,,
6,Behera,Clofibric acid,UV,0.739,28,0.739,2,Herbicide,,,,,,,,
1,Kim,Diphenhydramine,Membrane Bioreactor,,1800,,129,Antihistamine,,,,,,,,
39,Estrada-Arriaga,Ibuprofen,UV - ClO2,29,404,29,29,Anti-inflammatory,,,,,,,,
3,Sim,Ketoprofen,SF,6,83,6,6,Anti-inflammatory,,,,,,,,
3,Sim,Ketoprofen,UV,6,83,6,6,Anti-inflammatory,,,,,,,,
2,Margot,Carbendazim,"Ozone, Sand Filter",16.1,106,16.1,7.72,Fungicide,,,,,,,,
1,Kim,Methylprednisolone,Membrane Bioreactor,16,64.1,4,4.73,Steroid,,,,,,,,
2,Margot,Terbutryn,"Ozone, Sand Filter",0.1,38,0.1,2.85,Pesticide,,,,,,,,
39,Estrada-Arriaga,Atenolol,ClO2,1.55,69.3,1.55,5.2,Beta-Blocker,,,,,,,,
39,Estrada-Arriaga,Atenolol,UV - ClO2,1.55,69.3,1.55,5.2,Beta-Blocker,,,,,,,,
2,Margot,Benzotriazole,"Powdered Activated Carbon, Ultrafiltration",4.1,9224,4.1,694.8,Corrosion inhibitor,,,,,,,,
8,Rodriguez-Mozaz,Mecoprop,RO,11.2,66,2,5,Herbicide,,,,,,,,
38,Knopp,Gabapentin∗,"GAC, ae",25,15700,25,1200,Anticonvulsant,,,,,,,,
6,Behera,Gemfibrozil,UV,1.473,222,1.473,17,Lipid Regulator,,,,,,,,
13,Kosma,Ibuprofen,Chlorine,19.3,7800,19.3,600,Anti-inflammatory,,,,,,,,
7,Oliveira,Miconazole,UV,,130,,10,Antifungal,,,,,,,,
22,Li,Roxithromycin,Ozone,0.1,129,0.1,9.99,Antibiotic,,,,,,,,
39,Estrada-Arriaga,Gemfibrozil,UV,2.9,73.9,2.9,5.75,Lipid Regulator,,,,,,,,
21,Le-Minh,N4-Acetyl Sulfamethazine,MBR,,445,,35,Drug Metabolite,,,,,,,,
1,Kim,Furosemide,Membrane Bioreactor,160,913,40,72.1,Diuretic,,,,,,,,
39,Estrada-Arriaga,Progesterone,UV - ClO2,2.07,26,2.07,2.07,Hormone,,,,,,,,
21,Le-Minh,17-α ethynyloestradiol (EE2),MBR,,125,,10,Hormone,,,,,,,,
37,Matamoros,Naproxen,Constructed Wetland,,90,,7.2,Anti-inflammatory,,,,,,,,
38,Knopp,Iomeprol,Biofilter,25,16200,25,1300,Iodinated contrast medium,,,,,,,,
38,Knopp,Iomeprol,"Biofilter, ae",25,16200,25,1300,Iodinated contrast medium,,,,,,,,
2,Margot,Atenolol,"Ozone, Sand Filter",1.2,1274,1.2,102.3,Beta-Blocker,,,,,,,,
8,Rodriguez-Mozaz,Simazine,MF,61.9,61.9,3.5,5,Herbicide,,,,,,,,
1,Kim,Triclocarban,Membrane Bioreactor,3,78.4,12,6.41,Antibacterial,,,,,,,,
8,Rodriguez-Mozaz,Diazinon,MF,1.1,543,0.9,44.5,Insecticide,,,,,,,,
31,Bo,Gemfibrozil,UV,0.9,76100,0.9,6270,Lipid Regulator,,,,,,,,
1,Kim,Triclocarban,Membrane Bioreactor,3,70.9,12,5.86,Antibacterial,,,,,,,,
25,Carmona,Bisphenol A,"Filtration, UV",2,12,1,1,Plastic Component,,,,,,,,
38,Knopp,Dehydrato-erythromycin,Ozone,25,300,25,25,Drug Metabolite,,,,,,,,
39,Estrada-Arriaga,Valsartan,UV,7.73,1620,7.73,135,Antihypertensive,,,,,,,,
39,Estrada-Arriaga,Sulfadiazine,ClO2,8.34,100,8.34,8.34,Antibiotic,,,,,,,,
22,Li,Difloxacin,Ozone,0.1,2.39,0.1,0.2,Antibiotic,,,,,,,,
23,Hijosa-Valsero,Salicylic Acid,Constructed Wetland,,25740,,2160,Topical Anti-inflammatory,,,,,,,,
1,Kim,Digoxin,Membrane Bioreactor,24,83.6,6,7.09,Antiarrhythmic,,,,,,,,
2,Margot,Ibuprofen,"Ozone, Sand Filter",13.4,4101,13.4,352.24,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Sulfadimethoxine,UV,0.58,6.66,0.58,0.58,Antibiotic,,,,,,,,
2,Margot,Carbendazim,"Powdered Activated Carbon, Ultrafiltration",16.1,106,16.1,9.24,Fungicide,,,,,,,,
21,Le-Minh,Sulfapyridine,UV,,4260,,377,Antibiotic,,,,,,,,
8,Rodriguez-Mozaz,Trimethoprim,UV,5.6,118.5,1.1,10.5,Antibiotic,,,,,,,,
40,Mamo,Venlafaxine,NF,,568,,50.4,Antidepressant,,,,,,,,
40,Mamo,Citalopram,NF,,303.8,,27,Antidepressant,,,,,,,,
39,Estrada-Arriaga,Metoprolol,UV - ClO2,5.9,87.2,5.9,7.76,Beta-Blocker,,,,,,,,
10,He,17β-estradiol,MBR,0.6,1126,0.6,101,Hormone,,,,,,,,
39,Estrada-Arriaga,Valsartan,ClO2,7.73,85.6,7.73,7.73,Antihypertensive,,,,,,,,
38,Knopp,"10,11-Dihydro-10,11-dihydroxy-carbamazepine",Biofilter,25,3300,25,300,Drug metabolite,,,,,,,,
38,Knopp,"10,11-Dihydro-10,11-dihydroxy-carbamazepine","Biofilter, ae",25,3300,25,300,Drug metabolite,,,,,,,,
38,Knopp,"10,11-Dihydro-10,11-dihydroxy-carbamazepine",Ozone,25,3300,25,300,Drug metabolite,,,,,,,,
3,Sim,Mefenamic acid,UV,1,121,1,11,Anti-inflammatory,,,,,,,,
1,Kim,Norfloxacin,Membrane Bioreactor,15,723,60,66.9,Antibiotic,,,,,,,,
39,Estrada-Arriaga,Metformin,UV,11.2,"40,700",11.2,3770,Antidiabetic,,,,,,,,
28,Chiu,Pentoxifylline,UV,0.2,32,0.2,3,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Albuterol,UV - ClO2,0.59,6.29,0.59,0.59,Bronchodilator,,,,,,,,
7,Oliveira,Atenolol,UV,,6030,,570,Beta-Blocker,,,,,,,,
39,Estrada-Arriaga,Cotinine,UV,1.94,582,1.94,55.4,Opioid,,,,,,,,
38,Knopp,Gabapentin∗,GAC,25,15700,25,1500,Anticonvulsant,,,,,,,,
2,Margot,Carbamazepine,"Powdered Activated Carbon, Ultrafiltration",0.1,482,0.1,46.1,Anticonvulsant,,,,,,,,
1,Kim,4-Epitetracycline,Membrane Bioreactor,6,81.3,24,7.84,Antibiotic,,,,,,,,
1,Kim,Miconazole,Membrane Bioreactor,1.5,17,6,1.64,Antifungal,,,,,,,,
39,Estrada-Arriaga,Atenolol,UV - ClO2,1.55,38.2,1.55,3.69,Beta-Blocker,,,,,,,,
30,Hijosa-Valsero,Salicylic acid ,Constructed Wetland,,15900,,1540,Topical Anti-inflammatory,,,,,,,,
1,Kim,4-Epitetracycline,Membrane Bioreactor,6,92,24,9,Antibiotic,,,,,,,,
